cow time weight birthyear twin birthrank
1988023 900 602.1 1988 1 3
1988023 1260 652 1988 1 3
1988023 1620 668.4 1988 1 3
1988023 1980 671.5 1988 1 3
1988024 0 37 1988 1 3
1988024 112 154 1988 1 3
1988024 224 285.9 1988 1 3
1988024 364 360.4 1988 1 3
1988024 540 523.9 1988 1 3
1988024 720 598.8 1988 1 3
1988024 900 690 1988 1 3
1988024 1260 759.5 1988 1 3
1988024 1620 777.9 1988 1 3
1988024 1980 700.8 1988 1 3
1988025 0 40 1988 1 3
1988025 112 139 1988 1 3
1988025 224 265.9 1988 1 3
1988025 364 339.1 1988 1 3
1988025 540 455.1 1988 1 3
1988025 720 518.8 1988 1 3
1988025 900 585.8 1988 1 3
1988025 1260 634.6 1988 1 3
1988025 1620 645.9 1988 1 3
1988025 1980 659.5 1988 1 3
1988033 0 39 1988 1 3
1988033 112 148 1988 1 3
1988033 224 275.5 1988 1 3
1988033 364 336.9 1988 1 3
1988033 540 437.8 1988 1 3
1988033 720 507.4 1988 1 3
1988033 900 576 1988 1 3
1988033 1260 624.4 1988 1 3
1988033 1620 592.6 1988 1 3
1988040 0 46 1988 1 3
1988040 364 337.9 1988 1 3
1988040 540 447 1988 1 3
1988040 720 509.1 1988 1 3
1988040 900 614.9 1988 1 3
1988040 1260 619.6 1988 1 3
1988040 1620 610 1988 1 3
1988040 1980 574 1988 1 3
1989001 0 36 1989 1 3
1989001 112 135.3 1989 1 3
1989001 224 260.9 1989 1 3
1989001 364 309.5 1989 1 3
1989001 540 403.8 1989 1 3
1989001 720 468.4 1989 1 3
1989001 900 571.8 1989 1 3
1989001 1260 609.5 1989 1 3
1989001 1620 603.2 1989 1 3
1989001 1980 577.6 1989 1 3
1989002 0 40 1989 1 3
1989002 112 145.4 1989 1 3
1989002 224 285 1989 1 3
1989002 364 337.2 1989 1 3
1989002 540 438.1 1989 1 3
1989002 720 497.4 1989 1 3
1989002 900 615.1 1989 1 3
1989002 1260 697.2 1989 1 3
1989002 1620 693 1989 1 3
1989002 1980 697 1989 1 3
1989004 0 42 1989 1 3
1989004 112 149.7 1989 1 3
1989004 224 301.7 1989 1 3
1989004 364 363.4 1989 1 3
1989004 540 470.3 1989 1 3
1989004 720 593 1989 1 3
1989004 900 645.3 1989 1 3
1989004 1260 822.1 1989 1 3
1989004 1620 808.6 1989 1 3
1989004 1980 757.1 1989 1 3
1989005 0 38 1989 1 3
1989005 112 142.6 1989 1 3
1989005 224 284.8 1989 1 3
1989005 364 335 1989 1 3
1989005 540 428.3 1989 1 3
1989005 720 506.2 1989 1 3
1989005 900 602.3 1989 1 3
1989005 1260 620 1989 1 3
1989005 1620 630.5 1989 1 3
1989005 1980 663 1989 1 3
1989006 0 42 1989 1 3
1989006 112 136.1 1989 1 3
1989006 224 293.5 1989 1 3
1989006 364 344 1989 1 3
1989006 540 448.5 1989 1 3
1989006 720 503.2 1989 1 3
1989006 900 607.2 1989 1 3
1989006 1260 657.1 1989 1 3
1989006 1620 649.9 1989 1 3
1989006 1980 629.7 1989 1 3
1989007 0 40 1989 1 3
1989007 112 133.6 1989 1 3
1989007 224 240.2 1989 1 3
1989007 364 266.6 1989 1 3
1989007 540 368.6 1989 1 3
1989007 720 452.9 1989 1 3
1989007 900 605.3 1989 1 3
1989007 1260 686.7 1989 1 3
1989007 1620 696.9 1989 1 3
1989007 1980 742.4 1989 1 3
1989008 0 39 1989 1 3
1989008 112 149 1989 1 3
1989008 224 301.2 1989 1 3
1989008 364 348.6 1989 1 3
1989008 540 473.6 1989 1 3
1989008 720 534.5 1989 1 3
1989008 900 625.8 1989 1 3
1989008 1260 739.8 1989 1 3
1989008 1620 722.4 1989 1 3
1989008 1980 723.8 1989 1 3
1989009 0 38 1989 2 3
1989009 112 173 1989 2 3
1989009 224 331.5 1989 2 3
1989009 364 419.4 1989 2 3
1989009 540 503 1989 2 3
1989009 720 600.6 1989 2 3
1989009 900 664.1 1989 2 3
1989009 1260 819.3 1989 2 3
1989009 1620 827.5 1989 2 3
1989009 1980 811.1 1989 2 3
1989010 0 38 1989 2 3
1989010 112 160.2 1989 2 3
1989010 224 302.2 1989 2 3
1989010 364 362 1989 2 3
1989010 540 509.4 1989 2 3
1989010 720 553.3 1989 2 3
1989010 900 627.1 1989 2 3
1989010 1260 752.8 1989 2 3
1989010 1620 755.2 1989 2 3
1989010 1980 815.1 1989 2 3
1989011 0 36 1989 1 3
1989011 112 135.6 1989 1 3
1989011 224 266.2 1989 1 3
1989011 364 351 1989 1 3
1989011 540 472.5 1989 1 3
1989011 720 548.9 1989 1 3
1989011 900 635.7 1989 1 3
1989011 1260 762.5 1989 1 3
1989011 1620 735.9 1989 1 3
1989011 1980 745.3 1989 1 3
1989012 0 41 1989 1 3
1989012 112 156.1 1989 1 3
1989012 224 288 1989 1 3
1989012 364 359.2 1989 1 3
1989012 540 472.7 1989 1 3
1989012 720 555 1989 1 3
1989012 900 627.2 1989 1 3
1989012 1260 707.8 1989 1 3
1989012 1620 709.1 1989 1 3
1989012 1980 704.5 1989 1 3
1989013 0 43 1989 1 3
1989013 112 138.1 1989 1 3
1989013 224 269.2 1989 1 3
1989013 364 330.7 1989 1 3
1989013 540 439.1 1989 1 3
1989013 720 481 1989 1 3
1989013 900 591.5 1989 1 3
1989013 1260 603 1989 1 3
1989013 1620 596.2 1989 1 3
1989013 1980 611.2 1989 1 3
1989014 0 45 1989 1 3
1989014 112 159.3 1989 1 3
1989014 224 321.1 1989 1 3
1989014 364 383.3 1989 1 3
1989014 540 462.4 1989 1 3
1989014 720 573.9 1989 1 3
1989014 900 631.5 1989 1 3
1989014 1260 697.4 1989 1 3
1989014 1620 735.8 1989 1 3
1989014 1980 719 1989 1 3
1989015 0 48 1989 1 3
1989015 112 174.5 1989 1 3
1989015 224 336 1989 1 3
1989015 364 400.8 1989 1 3
1989015 540 508.4 1989 1 3
1989015 720 593.2 1989 1 3
1989015 900 667.8 1989 1 3
1989015 1260 752.7 1989 1 3
1989015 1620 748.5 1989 1 3
1989015 1980 692 1989 1 3
1989016 0 44 1989 1 4
1989016 112 154.2 1989 1 4
1989016 224 282.5 1989 1 4
1989016 364 332 1989 1 4
1989016 540 420.4 1989 1 4
1989016 720 494.7 1989 1 4
1989016 900 616.7 1989 1 4
1989016 1260 632.1 1989 1 4
1989016 1620 599.9 1989 1 4
1989016 1980 561 1989 1 4
1989019 0 49 1989 1 3
1989019 112 163.4 1989 1 3
1989019 224 311.3 1989 1 3
1989019 364 358.3 1989 1 3
1989019 540 488.7 1989 1 3
1989019 720 573.3 1989 1 3
1989019 900 679.5 1989 1 3
1989019 1260 781.8 1989 1 3
1989019 1620 807.6 1989 1 3
1989019 1980 812.2 1989 1 3
1989022 0 45 1989 1 3
1989022 112 132 1989 1 3
1989022 224 264.6 1989 1 3
1989022 364 296.4 1989 1 3
1989022 540 475.1 1989 1 3
1989022 720 475.2 1989 1 3
1989022 900 627.9 1989 1 3
1989022 1260 711.2 1989 1 3
1989022 1620 706.3 1989 1 3
1989022 1980 693.4 1989 1 3
1989024 0 46 1989 1 3
1989024 112 149.8 1989 1 3
1989024 224 280.7 1989 1 3
1989024 364 342.5 1989 1 3
1989024 540 421.8 1989 1 3
1989024 720 499.3 1989 1 3
1989024 900 614 1989 1 3
1989024 1260 693.7 1989 1 3
1989024 1620 700.7 1989 1 3
1989024 1980 690.2 1989 1 3
1989026 0 45 1989 1 3
1989026 112 154.3 1989 1 3
1989026 224 293.8 1989 1 3
1989026 364 349.9 1989 1 3
1989026 540 463.6 1989 1 3
1989026 720 546.6 1989 1 3
1989026 900 641.4 1989 1 3
1989026 1260 727.9 1989 1 3
1989026 1620 753.4 1989 1 3
1989026 1980 754.5 1989 1 3
1989027 0 45 1989 1 4
1989027 112 161.4 1989 1 4
1989027 224 288.5 1989 1 4
1989027 364 334 1989 1 4
1989027 540 467.4 1989 1 4
1989027 720 432 1989 1 4
1989027 900 547.1 1989 1 4
1989027 1260 586.2 1989 1 4
1989027 1620 584.7 1989 1 4
1989027 1980 557.7 1989 1 4
1989030 0 47 1989 1 3
1989030 112 108.4 1989 1 3
1989030 224 226.2 1989 1 3
1989030 364 300.4 1989 1 3
1989030 540 425.6 1989 1 3
1989030 720 508.3 1989 1 3
1989030 900 635.6 1989 1 3
1989030 1260 704.6 1989 1 3
1989030 1620 683 1989 1 3
1989030 1980 704.1 1989 1 3
1989031 0 50 1989 1 3
1989031 112 160.2 1989 1 3
1989031 224 293.3 1989 1 3
1989031 364 361.1 1989 1 3
1989031 540 477.6 1989 1 3
1989031 720 552.8 1989 1 3
1989031 900 637.7 1989 1 3
1989031 1260 693.3 1989 1 3
1989031 1620 677 1989 1 3
1989031 1980 684.1 1989 1 3
1989032 0 56 1989 1 3
1989032 112 141.4 1989 1 3
1989032 224 271.5 1989 1 3
1989032 364 337.9 1989 1 3
1989032 540 439.4 1989 1 3
1989032 720 497.8 1989 1 3
1989032 900 629.4 1989 1 3
1989032 1260 748.3 1989 1 3
1989032 1620 750.5 1989 1 3
1989032 1980 762.3 1989 1 3
1989034 0 41 1989 1 3
1989034 112 148.5 1989 1 3
1989034 224 259.6 1989 1 3
1989034 364 328.7 1989 1 3
1989034 540 452.2 1989 1 3
1989034 720 505.2 1989 1 3
1989034 900 617.7 1989 1 3
1989034 1260 683.7 1989 1 3
1989034 1620 641.8 1989 1 3
1989034 1980 690.4 1989 1 3
1989035 0 45 1989 1 4
1989035 112 150.2 1989 1 4
1989035 224 264.7 1989 1 4
1989035 364 338.2 1989 1 4
1989035 540 426 1989 1 4
1989035 720 469.3 1989 1 4
1989035 900 576.9 1989 1 4
1989035 1260 591.9 1989 1 4
1989035 1620 590.9 1989 1 4
1989035 1980 628.5 1989 1 4
1989036 0 45 1989 1 4
1989036 112 173.1 1989 1 4
1989036 224 300.8 1989 1 4
1989036 364 299.4 1989 1 4
1989036 540 447 1989 1 4
1989036 720 534.9 1989 1 4
1989036 900 646.1 1989 1 4
1989036 1260 673 1989 1 4
1989036 1620 678.2 1989 1 4
1989036 1980 667.7 1989 1 4
1989037 0 46 1989 1 3
1989037 112 155.2 1989 1 3
1989037 224 295.3 1989 1 3
1989037 364 361.2 1989 1 3
1989037 540 484.3 1989 1 3
1989037 720 563.8 1989 1 3
1989037 900 635.3 1989 1 3
1989037 1260 778.2 1989 1 3
1989037 1620 871.1 1989 1 3
1989037 1980 879.6 1989 1 3
1989039 0 42 1989 1 4
1989039 112 148.8 1989 1 4
1989039 224 258.4 1989 1 4
1989039 364 323.2 1989 1 4
1989039 540 431.2 1989 1 4
1989039 720 493 1989 1 4
1989039 900 612.4 1989 1 4
1989040 0 45 1989 1 4
1989040 112 130.1 1989 1 4
1989040 224 251.3 1989 1 4
1989040 364 314 1989 1 4
1989040 540 444.5 1989 1 4
1989040 720 494.5 1989 1 4
1989040 900 625.8 1989 1 4
1989040 1260 718.1 1989 1 4
1989040 1620 665.9 1989 1 4
1989040 1980 735 1989 1 4
1989041 0 36 1989 1 4
1989041 112 130 1989 1 4
1989041 224 245.4 1989 1 4
1989041 364 306.4 1989 1 4
1989041 540 398.7 1989 1 4
1989041 720 452.5 1989 1 4
1989041 900 556.8 1989 1 4
1989041 1260 587.6 1989 1 4
1989041 1620 563.9 1989 1 4
1989041 1980 605.5 1989 1 4
1989042 0 50 1989 1 3
1989042 112 117.8 1989 1 3
1989042 224 246.2 1989 1 3
1989042 364 328.6 1989 1 3
1989042 540 479.3 1989 1 3
1989042 720 525.5 1989 1 3
1989042 900 613.6 1989 1 3
1989042 1260 664 1989 1 3
1989042 1620 688.2 1989 1 3
1989042 1980 728.9 1989 1 3
1989043 0 52 1989 1 4
1989043 112 160.6 1989 1 4
1989043 224 308.4 1989 1 4
1989043 364 396.8 1989 1 4
1989043 540 528.3 1989 1 4
1989043 720 603.7 1989 1 4
1989043 900 673 1989 1 4
1989043 1260 723.6 1989 1 4
1989043 1620 730.9 1989 1 4
1989043 1980 733.3 1989 1 4
1989044 0 50 1989 1 4
1989044 112 156 1989 1 4
1989044 224 284 1989 1 4
1989044 364 345.4 1989 1 4
1989044 540 448.7 1989 1 4
1989044 720 495.3 1989 1 4
1989044 900 599.5 1989 1 4
1989044 1260 660.2 1989 1 4
1989044 1620 635.6 1989 1 4
1989044 1980 673.8 1989 1 4
1989045 0 49 1989 1 4
1989045 112 164 1989 1 4
1989045 224 296.8 1989 1 4
1989045 364 380.1 1989 1 4
1989045 540 507.4 1989 1 4
1989045 720 614.6 1989 1 4
1989045 900 694.5 1989 1 4
1989045 1260 812.7 1989 1 4
1989045 1620 772.3 1989 1 4
1989045 1980 834.9 1989 1 4
1989046 0 41 1989 1 4
1989046 112 154 1989 1 4
1989046 224 281.6 1989 1 4
1989046 364 330.8 1989 1 4
1989046 540 464.2 1989 1 4
1989046 720 542.8 1989 1 4
1989046 900 634.5 1989 1 4
1989046 1260 675 1989 1 4
1989046 1620 671.4 1989 1 4
1989046 1980 682.7 1989 1 4
1989047 0 56 1989 1 3
1989047 112 152 1989 1 3
1989047 224 278.5 1989 1 3
1989047 364 361 1989 1 3
1989047 540 506 1989 1 3
1989047 720 596.9 1989 1 3
1989047 900 681.9 1989 1 3
1989047 1260 808.6 1989 1 3
1989047 1620 798.7 1989 1 3
1989047 1980 851.2 1989 1 3
1989048 0 43 1989 1 4
1989048 112 133.6 1989 1 4
1989048 224 235.1 1989 1 4
1989048 364 281.2 1989 1 4
1989048 540 402.1 1989 1 4
1989048 720 475.9 1989 1 4
1989048 900 605.3 1989 1 4
1989048 1260 654 1989 1 4
1989048 1620 617.8 1989 1 4
1989048 1980 681.8 1989 1 4
1989049 0 50 1989 1 4
1989049 112 138 1989 1 4
1989049 224 267.3 1989 1 4
1989049 364 335.7 1989 1 4
1989049 540 477.7 1989 1 4
1989049 720 525.3 1989 1 4
1989049 900 607.7 1989 1 4
1989049 1260 682.5 1989 1 4
1989049 1620 724.5 1989 1 4
1989049 1980 679.7 1989 1 4
1989050 0 41 1989 1 3
1989050 112 129.7 1989 1 3
1989050 224 241.8 1989 1 3
1989050 364 307.2 1989 1 3
1989050 540 441.7 1989 1 3
1989050 720 502.6 1989 1 3
1989050 900 636.5 1989 1 3
1989050 1260 750.1 1989 1 3
1989050 1620 770.4 1989 1 3
1989050 1980 698 1989 1 3
1989051 0 46 1989 1 4
1989051 112 157 1989 1 4
1989051 224 281.5 1989 1 4
1989051 364 348.2 1989 1 4
1989051 540 475 1989 1 4
1989051 720 545.6 1989 1 4
1989051 900 635.9 1989 1 4
1989051 1260 708 1989 1 4
1989051 1620 669.5 1989 1 4
1989051 1980 754.9 1989 1 4
1989052 0 57 1989 1 3
1989052 112 150.9 1989 1 3
1989052 224 273.3 1989 1 3
1989052 364 357.5 1989 1 3
1989052 540 506.7 1989 1 3
1989052 720 556.2 1989 1 3
1989052 900 642.3 1989 1 3
1989052 1260 769.1 1989 1 3
1989052 1620 764.3 1989 1 3
1989052 1980 831.8 1989 1 3
1989053 0 46 1989 1 4
1989053 112 153.7 1989 1 4
1989053 224 267.5 1989 1 4
1989053 364 321.6 1989 1 4
1989053 540 422.3 1989 1 4
1989053 720 477.7 1989 1 4
1989053 900 588.5 1989 1 4
1989053 1260 607.6 1989 1 4
1989053 1620 644.5 1989 1 4
1989053 1980 621.9 1989 1 4
1989054 0 42 1989 1 4
1989054 112 158.3 1989 1 4
1989054 224 271 1989 1 4
1989054 364 352 1989 1 4
1989054 540 502.5 1989 1 4
1989054 720 556 1989 1 4
1989054 900 648.5 1989 1 4
1989054 1260 732 1989 1 4
1989054 1620 768 1989 1 4
1989054 1980 774.6 1989 1 4
1989055 0 41 1989 1 3
1989055 112 146.3 1989 1 3
1989055 224 251.3 1989 1 3
1989055 364 325.3 1989 1 3
1989055 540 451.5 1989 1 3
1989055 720 521.2 1989 1 3
1989055 900 621.3 1989 1 3
1989055 1260 640.2 1989 1 3
1989055 1620 591.8 1989 1 3
1989055 1980 589.2 1989 1 3
1989059 0 42 1989 1 3
1989059 112 147.8 1989 1 3
1989059 224 277.6 1989 1 3
1989059 364 341.5 1989 1 3
1989059 540 492.8 1989 1 3
1989059 720 553.6 1989 1 3
1989059 900 639.8 1989 1 3
1989059 1260 733.8 1989 1 3
1989059 1620 731.5 1989 1 3
1989059 1980 807.2 1989 1 3
1989060 0 40 1989 1 4
1989060 112 123 1989 1 4
1989060 224 204.8 1989 1 4
1989060 364 205.1 1989 1 4
1989060 540 319.4 1989 1 4
1989060 720 366 1989 1 4
1989060 900 493.3 1989 1 4
1989060 1260 497.5 1989 1 4
1989060 1620 504.5 1989 1 4
1989060 1980 483.9 1989 1 4
1989062 0 45 1989 1 4
1989062 112 169.4 1989 1 4
1989062 224 301.3 1989 1 4
1989062 364 394.3 1989 1 4
1989062 540 516.4 1989 1 4
1989062 720 575.9 1989 1 4
1989062 900 613.5 1989 1 4
1989062 1260 673.4 1989 1 4
1989062 1620 686.3 1989 1 4
1989063 0 45 1989 1 4
1989063 112 170.7 1989 1 4
1989063 224 292.8 1989 1 4
1989063 364 386.9 1989 1 4
1989063 540 488 1989 1 4
1989063 720 539.8 1989 1 4
1989063 900 649.2 1989 1 4
1989063 1260 682.4 1989 1 4
1989063 1620 697.8 1989 1 4
1989063 1980 676 1989 1 4
1989064 0 50 1989 1 4
1989064 112 162.7 1989 1 4
1989064 224 297.9 1989 1 4
1989064 364 378 1989 1 4
1989064 540 499 1989 1 4
1989064 720 547 1989 1 4
1989064 900 660.4 1989 1 4
1989064 1260 744 1989 1 4
1989064 1620 740.4 1989 1 4
1989064 1980 682.1 1989 1 4
1989066 0 46 1989 1 4
1989066 112 151.7 1989 1 4
1989066 224 261.6 1989 1 4
1989066 364 301.7 1989 1 4
1989066 540 426.8 1989 1 4
1989066 720 571.2 1989 1 4
1989066 900 681.3 1989 1 4
1989066 1260 690.7 1989 1 4
1989066 1620 739.4 1989 1 4
1989066 1980 721.2 1989 1 4
1989067 0 29 1989 1 4
1989067 112 134.9 1989 1 4
1989067 224 253.3 1989 1 4
1989067 364 319 1989 1 4
1989067 540 433 1989 1 4
1989067 720 493.9 1989 1 4
1989067 900 646.3 1989 1 4
1989067 1260 600.7 1989 1 4
1989067 1620 730.7 1989 1 4
1989067 1980 601.6 1989 1 4
1989068 0 59 1989 1 4
1989068 112 183.6 1989 1 4
1989068 224 316.1 1989 1 4
1989068 364 402.8 1989 1 4
1989068 540 532.1 1989 1 4
1989068 720 585.1 1989 1 4
1989068 900 649.5 1989 1 4
1989068 1260 617.9 1989 1 4
1989068 1620 704.1 1989 1 4
1989068 1980 706.9 1989 1 4
1989069 0 49 1989 1 4
1989069 112 182.4 1989 1 4
1989069 224 290.5 1989 1 4
1989069 364 378.5 1989 1 4
1989069 540 491.6 1989 1 4
1989069 720 572.1 1989 1 4
1989069 900 667 1989 1 4
1989069 1260 592.3 1989 1 4
1989069 1620 674.6 1989 1 4
1989069 1980 798.6 1989 1 4
1990003 0 42 1990 1 3
1990003 112 161 1990 1 3
1990003 224 301.3 1990 1 3
1990003 364 397.4 1990 1 3
1990003 540 549.9 1990 1 3
1990003 720 592.3 1990 1 3
1990003 900 641.1 1990 1 3
1990003 1260 637.2 1990 1 3
1990003 1620 731.9 1990 1 3
1990003 1980 699.8 1990 1 3
1990004 0 49 1990 1 3
1990004 112 148.3 1990 1 3
1990004 224 290.3 1990 1 3
1990004 364 396.5 1990 1 3
1990004 540 550.7 1990 1 3
1990004 720 617.3 1990 1 3
1990004 900 633.3 1990 1 3
1990004 1260 658.2 1990 1 3
1990004 1620 667.2 1990 1 3
1990004 1980 718.8 1990 1 3
1990005 0 41 1990 1 3
1990005 112 146.1 1990 1 3
1990005 224 264.9 1990 1 3
1990005 364 366.4 1990 1 3
1990005 540 513.6 1990 1 3
1990005 720 559.6 1990 1 3
1990005 900 616.6 1990 1 3
1990005 1260 675.8 1990 1 3
1990005 1620 638.9 1990 1 3
1990011 0 42 1990 1 3
1990011 112 160 1990 1 3
1990011 224 312.9 1990 1 3
1990011 364 418.3 1990 1 3
1990011 540 578.9 1990 1 3
1990011 720 647.9 1990 1 3
1990011 900 653.8 1990 1 3
1990011 1260 768.2 1990 1 3
1990011 1620 768.5 1990 1 3
1990011 1980 777.3 1990 1 3
1990012 0 45 1990 1 3
1990012 112 158 1990 1 3
1990012 224 305.8 1990 1 3
1990012 364 425.3 1990 1 3
1990012 540 577.1 1990 1 3
1990012 720 637 1990 1 3
1990012 900 622 1990 1 3
1990012 1260 735.1 1990 1 3
1990012 1620 764.2 1990 1 3
1990012 1980 833.2 1990 1 3
1990013 0 49 1990 1 3
1990013 112 156.3 1990 1 3
1990013 224 283.6 1990 1 3
1990013 364 377.7 1990 1 3
1990013 540 519.3 1990 1 3
1990013 720 575.8 1990 1 3
1990013 900 555.7 1990 1 3
1990013 1260 609.9 1990 1 3
1990013 1620 616.5 1990 1 3
1990013 1980 648.9 1990 1 3
1990014 0 40 1990 1 3
1990014 112 126.2 1990 1 3
1990014 224 235.6 1990 1 3
1990014 364 333.1 1990 1 3
1990014 540 465.3 1990 1 3
1990014 720 521.1 1990 1 3
1990014 900 559.7 1990 1 3
1990014 1260 616 1990 1 3
1990014 1620 655.6 1990 1 3
1990014 1980 698 1990 1 3
1990017 0 37 1990 1 3
1990017 112 131.5 1990 1 3
1990017 224 259.3 1990 1 3
1990017 364 347.9 1990 1 3
1990017 540 466.4 1990 1 3
1990017 720 495.4 1990 1 3
1990017 900 536.3 1990 1 3
1990017 1260 588.8 1990 1 3
1990017 1620 616.5 1990 1 3
1990017 1980 640.2 1990 1 3
1990021 0 54 1990 1 4
1990021 112 180.9 1990 1 4
1990021 224 312 1990 1 4
1990021 364 406.8 1990 1 4
1990021 540 533.4 1990 1 4
1990021 720 599.9 1990 1 4
1990021 900 622 1990 1 4
1990021 1260 643.9 1990 1 4
1990021 1620 636.3 1990 1 4
1990021 1980 637.1 1990 1 4
1990023 0 60 1990 1 4
1990023 112 130.3 1990 1 4
1990023 224 262 1990 1 4
1990023 364 390.5 1990 1 4
1990023 540 530.3 1990 1 4
1990023 720 571.9 1990 1 4
1990023 900 604.8 1990 1 4
1990023 1260 705.8 1990 1 4
1990023 1620 707.7 1990 1 4
1990023 1980 749.1 1990 1 4
1990024 0 57 1990 1 5
1990024 112 168 1990 1 5
1990024 224 298.6 1990 1 5
1990024 364 426.6 1990 1 5
1990024 540 603.1 1990 1 5
1990024 720 657.9 1990 1 5
1990024 900 656 1990 1 5
1990024 1260 808.3 1990 1 5
1990024 1620 803.1 1990 1 5
1990024 1980 850.4 1990 1 5
1990025 0 49 1990 1 5
1990025 112 152 1990 1 5
1990025 224 250.5 1990 1 5
1990025 364 342.7 1990 1 5
1990025 540 485.6 1990 1 5
1990025 720 532.2 1990 1 5
1990025 900 531.9 1990 1 5
1990025 1260 535.9 1990 1 5
1990025 1620 562.5 1990 1 5
1990028 0 46 1990 1 3
1990028 112 120.1 1990 1 3
1990028 224 263.7 1990 1 3
1990028 364 339.4 1990 1 3
1990028 540 481.4 1990 1 3
1990028 720 505.1 1990 1 3
1990028 900 558.4 1990 1 3
1990028 1260 667.6 1990 1 3
1990028 1620 687 1990 1 3
1990028 1980 704.7 1990 1 3
1990030 0 44 1990 1 3
1990030 112 133.5 1990 1 3
1990030 224 270.9 1990 1 3
1990030 364 342 1990 1 3
1990030 540 496 1990 1 3
1990030 720 528.8 1990 1 3
1990030 900 536.1 1990 1 3
1990030 1260 578.6 1990 1 3
1990030 1620 622.4 1990 1 3
1990030 1980 707.4 1990 1 3
1990036 0 45 1990 1 3
1990036 112 101.5 1990 1 3
1990036 224 222.2 1990 1 3
1990036 364 305 1990 1 3
1990036 540 461.7 1990 1 3
1990036 720 509.5 1990 1 3
1990036 900 565 1990 1 3
1990036 1260 612.2 1990 1 3
1990036 1620 664.8 1990 1 3
1990036 1980 750.6 1990 1 3
1990037 0 56 1990 1 3
1990037 112 156 1990 1 3
1990037 224 285.1 1990 1 3
1990037 364 384.8 1990 1 3
1990037 540 530.1 1990 1 3
1990037 720 570.7 1990 1 3
1990037 900 583.6 1990 1 3
1990037 1260 682.1 1990 1 3
1990037 1620 678.4 1990 1 3
1990037 1980 773.7 1990 1 3
1990038 0 51 1990 1 4
1990038 112 179.5 1990 1 4
1990038 224 270.2 1990 1 4
1990038 364 414 1990 1 4
1990038 540 534.6 1990 1 4
1990038 720 576 1990 1 4
1990038 900 625.5 1990 1 4
1990038 1260 632.7 1990 1 4
1990038 1620 686.8 1990 1 4
